Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Roy Hibbert,21:12,4,8,.500,0,0,,1,2,.500,3,3,6,1,0,1,1,2,9,+14
Tyler Hansbrough,28:01,5,11,.455,0,0,,2,3,.667,3,4,7,0,1,0,2,2,12,+7
Dahntay Jones,22:09,5,6,.833,1,2,.500,0,0,,0,3,3,2,0,0,2,3,11,-2
George Hill,19:49,3,5,.600,2,2,1.000,0,0,,0,1,1,2,0,0,1,4,8,+13
Lou Amundson,14:37,3,6,.500,0,0,,1,2,.500,2,4,6,2,0,1,2,1,7,-3
Lance Stephenson,13:31,0,2,.000,0,1,.000,0,0,,1,2,3,1,1,0,2,1,0,-2
A.J. Price,2:51,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,-3
Deron Williams,34:14,6,14,.429,1,7,.143,9,11,.818,1,1,2,8,2,1,2,1,22,-10
Mehmet Okur,27:41,3,7,.429,2,3,.667,0,0,,2,4,6,2,1,0,1,1,8,-17
Damion James,25:38,4,9,.444,0,0,,2,4,.500,3,2,5,0,2,2,1,3,10,-9
Shelden Williams,22:30,1,9,.111,0,0,,0,0,,4,2,6,2,0,3,1,2,2,-12
Sundiata Gaines,17:21,4,6,.667,1,2,.500,3,3,1.000,0,2,2,0,1,0,2,1,12,-7
MarShon Brooks,31:56,8,17,.471,2,5,.400,3,4,.750,4,3,7,0,2,0,1,2,21,-14
Shawne Williams,22:00,3,9,.333,1,4,.250,0,0,,2,1,3,0,0,0,2,2,7,+1
Johan Petro,18:46,1,3,.333,0,0,,4,4,1.000,2,2,4,2,0,4,0,2,6,-2
Anthony Morrow,15:10,1,8,.125,0,4,.000,0,0,,2,2,4,1,0,0,0,0,2,0
DeShawn Stevenson,10:22,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Jordan Farmar,9:44,2,5,.400,0,2,.000,0,0,,0,1,1,0,1,0,0,1,4,+2
Jordan Williams,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Dennis Horner,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
José Calderón,43:01,3,8,.375,1,4,.250,2,2,1.000,1,3,4,12,1,0,2,4,9,-2
Andrea Bargnani,37:54,7,13,.538,0,2,.000,7,8,.875,0,5,5,1,0,0,3,3,21,-6
Rasual Butler,37:07,5,12,.417,3,7,.429,0,0,,1,9,10,0,1,0,0,3,13,0
DeMar DeRozan,34:35,7,13,.538,2,2,1.000,5,6,.833,0,3,3,2,0,0,4,4,21,0
Amir Johnson,24:37,2,4,.500,0,0,,1,2,.500,0,3,3,1,2,4,4,5,5,+13
Jamaal Magloire,18:07,0,2,.000,0,0,,0,2,.000,1,9,10,1,0,0,1,3,0,-7
Ed Davis,15:12,1,5,.200,0,0,,0,0,,1,0,1,1,0,0,1,2,2,+8
Leandro Barbosa,13:16,2,5,.400,0,1,.000,6,7,.857,0,4,4,0,0,0,1,1,10,+11
James Johnson,11:12,2,4,.500,1,1,1.000,0,0,,0,0,0,0,1,1,1,5,5,+1
Anthony Carter,4:59,1,2,.500,0,0,,2,2,1.000,0,4,4,3,0,0,1,0,4,+7
Jerryd Bayless,Did Not Dress,,,,,,,,,,,,,,,,,,,
Tyson Chandler,43:01,3,4,.750,0,0,,5,6,.833,2,8,10,0,2,0,2,5,11,0
Carmelo Anthony,42:14,13,31,.419,4,9,.444,5,8,.625,1,10,11,4,1,0,3,1,35,-2
Toney Douglas,36:34,8,19,.421,4,11,.364,2,3,.667,1,3,4,4,1,0,1,3,22,+3
Josh Harrellson,33:01,0,4,.000,0,4,.000,2,2,1.000,1,4,5,0,1,1,0,2,2,+5
Landry Fields,32:10,1,7,.143,0,2,.000,3,4,.750,0,3,3,5,2,2,2,5,5,+13
Henry Walker,24:14,2,6,.333,1,3,.333,2,2,1.000,0,1,1,1,0,0,1,4,7,-13
Mike Bibby,15:22,0,3,.000,0,3,.000,0,0,,0,3,3,0,1,0,1,3,0,-18
Steve Novak,10:03,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3,-10
Jerome Jordan,3:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-3
Amar'e Stoudemire,Did Not Dress,,,,,,,,,,,,,,,,,,,
Richard Jefferson,33:16,6,10,.600,4,7,.571,0,0,,0,2,2,0,1,0,0,2,16,-5
Tony Parker,30:40,3,11,.273,0,0,,5,6,.833,0,2,2,9,2,0,0,0,11,-3
Tim Duncan,28:15,7,12,.583,0,0,,2,2,1.000,0,2,2,5,0,1,1,1,16,-15
DeJuan Blair,27:46,2,9,.222,0,0,,2,2,1.000,3,0,3,2,1,0,2,4,6,-6
Manu Ginóbili,12:40,3,6,.500,1,3,.333,1,1,1.000,0,2,2,2,1,0,0,1,8,-5
James Anderson,22:15,1,6,.167,1,5,.200,1,2,.500,0,2,2,1,1,0,2,0,4,-11
Tiago Splitter,20:14,5,7,.714,0,0,,2,4,.500,1,2,3,0,0,1,2,4,12,-4
Kawhi Leonard,17:22,2,6,.333,0,0,,2,2,1.000,2,1,3,1,2,0,0,1,6,-2
T.J. Ford,17:20,2,3,.667,0,0,,0,0,,1,1,2,5,1,0,1,2,4,-7
Danny Green,17:03,3,6,.500,1,2,.500,2,2,1.000,1,2,3,0,0,1,1,0,9,+5
Matt Bonner,13:09,2,6,.333,0,3,.000,0,0,,1,5,6,1,0,0,0,0,4,+3
Kevin Love,43:32,8,15,.533,4,9,.444,4,5,.800,3,12,15,1,3,2,6,2,24,+10
Michael Beasley,43:06,8,15,.533,2,2,1.000,1,2,.500,1,4,5,3,0,1,3,3,19,+10
Luke Ridnour,36:00,7,10,.700,2,3,.667,3,4,.750,0,1,1,9,0,1,3,3,19,+6
Wesley Johnson,29:34,6,6,1.000,2,2,1.000,0,0,,0,2,2,1,1,1,2,1,14,+7
Darko Miličić,21:59,5,9,.556,0,0,,0,0,,1,5,6,1,0,1,0,2,10,+19
Ricky Rubio,23:41,3,8,.375,0,2,.000,0,0,,0,2,2,3,0,1,2,1,6,+1
Anthony Tolliver,23:39,1,3,.333,1,2,.500,2,2,1.000,2,4,6,0,0,0,1,1,5,-7
Derrick Williams,11:44,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,3,7,-2
Wayne Ellington,6:45,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,2,+6
Malcolm Lee,Did Not Dress,,,,,,,,,,,,,,,,,,,
J.J. Barea,Did Not Dress,,,,,,,,,,,,,,,,,,,
Serge Ibaka,41:24,4,10,.400,0,0,,2,2,1.000,5,3,8,1,1,2,0,4,10,-6
Kevin Durant,39:17,10,21,.476,3,6,.500,4,7,.571,0,2,2,0,0,1,3,0,27,-5
Russell Westbrook,35:24,8,20,.400,0,2,.000,2,4,.500,1,7,8,3,3,0,2,0,18,-4
Kendrick Perkins,30:54,1,3,.333,0,0,,5,6,.833,4,2,6,1,0,1,2,3,7,+5
Thabo Sefolosha,8:17,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+2
James Harden,31:23,5,11,.455,1,5,.200,5,5,1.000,1,6,7,3,2,0,3,2,16,-11
Eric Maynor,17:51,3,4,.750,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,1,9,-9
Nick Collison,12:20,0,0,,0,0,,0,0,,1,4,5,1,0,0,0,4,0,-10
Lazar Hayward,10:14,0,4,.000,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-13
Nazr Mohammed,6:25,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-12
Reggie Jackson,5:32,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-2
Cole Aldrich,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Dirk Nowitzki,36:01,10,16,.625,1,5,.200,5,6,.833,1,5,6,3,2,0,2,2,26,+24
Jason Kidd,34:05,0,1,.000,0,0,,0,0,,0,5,5,9,0,0,3,2,0,+2
Brendan Haywood,26:27,3,6,.500,0,0,,0,0,,3,5,8,0,0,2,0,5,6,+7
Shawn Marion,26:06,8,17,.471,1,2,.500,0,0,,1,3,4,1,0,0,0,2,17,+4
Delonte West,16:33,2,5,.400,0,1,.000,0,0,,0,1,1,0,1,0,2,0,4,+4
Jason Terry,31:27,6,12,.500,3,5,.600,0,0,,0,1,1,3,2,1,1,1,15,+9
Vince Carter,23:40,3,9,.333,0,0,,8,9,.889,0,2,2,3,0,1,1,2,14,+4
Ian Mahinmi,21:08,5,8,.625,0,0,,0,0,,4,5,9,0,1,0,1,5,10,+6
Lamar Odom,20:29,2,4,.500,0,1,.000,4,5,.800,2,3,5,2,0,0,1,4,8,+6
Brian Cardinal,1:39,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1
Rodrigue Beaubois,1:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0
Dominique Jones,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Carlos Delfino,42:17,5,11,.455,3,6,.500,1,3,.333,1,8,9,3,3,2,1,3,14,+1
Brandon Jennings,37:02,5,16,.313,0,4,.000,2,2,1.000,2,1,3,3,1,0,6,0,12,-6
Stephen Jackson,36:10,7,18,.389,1,5,.200,2,2,1.000,2,1,3,4,2,0,3,1,17,-4
Andrew Bogut,32:10,5,12,.417,0,0,,2,4,.500,0,7,7,4,1,3,0,2,12,-2
Ersan İlyasova,19:43,3,7,.429,0,2,.000,0,0,,2,2,4,0,0,1,2,4,6,0
Luc Mbah a Moute,21:28,3,6,.500,0,0,,0,0,,1,5,6,0,1,2,0,4,6,-5
Shaun Livingston,15:51,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,2,2,-3
Jon Leuer,14:01,4,5,.800,0,0,,0,0,,0,2,2,0,0,0,0,2,8,-4
Beno Udrih,12:40,3,6,.500,1,2,.500,0,0,,0,1,1,4,0,0,2,0,7,-3
Drew Gooden,6:06,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,1,2,+4
Larry Sanders,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Mike Dunleavy,Not With Team,,,,,,,,,,,,,,,,,,,
Danilo Gallinari,35:34,5,12,.417,1,5,.200,10,12,.833,2,8,10,2,0,1,4,2,21,+12
Ty Lawson,33:19,7,13,.538,0,1,.000,2,2,1.000,2,1,3,6,1,0,1,1,16,+9
Arron Afflalo,25:39,2,8,.250,0,2,.000,0,0,,0,4,4,3,0,0,1,0,4,0
Kosta Koufos,19:17,3,4,.750,0,0,,2,2,1.000,2,4,6,0,1,1,3,2,8,+4
Timofey Mozgov,14:44,2,9,.222,0,0,,0,0,,2,4,6,1,1,0,1,3,4,+1
Andre Miller,29:54,3,12,.250,0,1,.000,0,0,,2,5,7,4,2,1,0,1,6,+9
Al Harrington,29:07,7,12,.583,1,5,.200,2,3,.667,2,6,8,0,0,0,2,3,17,+1
Rudy Fernández,22:32,1,3,.333,1,3,.333,2,2,1.000,0,1,1,4,1,0,2,1,5,+1
Chris Andersen,15:15,0,3,.000,0,0,,0,2,.000,1,2,3,1,0,1,1,1,0,-14
Corey Brewer,14:39,3,7,.429,1,2,.500,3,4,.750,0,1,1,1,1,2,1,1,10,+2
Jarrett Jack,39:38,11,17,.647,1,3,.333,4,4,1.000,1,4,5,11,1,2,2,4,27,-1
Marco Belinelli,36:49,2,9,.222,2,4,.500,0,0,,0,4,4,1,1,0,3,1,6,-3
Emeka Okafor,24:30,3,8,.375,0,0,,1,2,.500,1,4,5,2,0,0,1,3,7,0
Carl Landry,17:43,1,4,.250,0,0,,1,2,.500,0,3,3,2,0,0,1,1,3,-1
Trevor Ariza,17:24,2,4,.500,0,0,,0,0,,0,2,2,1,1,0,0,3,4,+3
Chris Kaman,28:44,6,7,.857,0,0,,2,2,1.000,2,4,6,1,0,0,3,3,14,-7
Al-Farouq Aminu,28:42,3,6,.500,0,2,.000,5,6,.833,0,1,1,0,1,1,1,3,11,-6
Jason Smith,25:03,8,13,.615,0,1,.000,0,0,,3,5,8,0,1,1,2,2,16,0
Trey Johnson,11:29,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,0,2,2,0
Greivis Vásquez,9:58,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,2,2,0,-5
Eric Gordon,Did Not Dress,,,,,,,,,,,,,,,,,,,
Al Jefferson,34:18,11,18,.611,0,0,,0,1,.000,1,5,6,2,1,1,1,3,22,+2
Devin Harris,27:29,5,9,.556,3,6,.500,6,10,.600,0,1,1,5,0,0,3,0,19,+2
Paul Millsap,25:24,3,7,.429,0,1,.000,0,0,,2,4,6,1,3,0,1,1,6,0
Gordon Hayward,19:48,1,3,.333,0,2,.000,1,1,1.000,0,2,2,2,0,1,1,0,3,-11
Raja Bell,19:03,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-7
Josh Howard,25:44,3,8,.375,0,0,,7,8,.875,2,1,3,1,0,1,0,3,13,+12
Derrick Favors,22:39,4,6,.667,0,0,,1,2,.500,1,4,5,0,0,2,3,2,9,+4
C.J. Miles,21:10,5,12,.417,1,2,.500,0,0,,0,4,4,1,2,0,0,3,11,+7
Earl Watson,20:31,1,3,.333,0,1,.000,0,0,,0,1,1,7,0,1,2,4,2,+2
Enes Kanter,13:22,2,4,.500,0,0,,0,1,.000,2,2,4,1,0,0,0,0,4,+1
Alec Burks,10:31,2,4,.500,1,1,1.000,0,0,,1,2,3,0,0,0,1,1,5,+8
D.J. Augustin,38:03,10,18,.556,4,7,.571,2,2,1.000,0,4,4,9,1,1,4,1,26,-11
Corey Maggette,37:20,4,12,.333,0,2,.000,13,14,.929,1,7,8,2,0,0,3,2,21,-5
Gerald Henderson,34:39,8,15,.533,0,0,,0,0,,2,5,7,2,1,0,1,3,16,-11
D.J. White,31:13,5,6,.833,0,0,,0,0,,1,6,7,2,0,0,0,5,10,-4
Boris Diaw,18:16,0,5,.000,0,3,.000,0,0,,0,5,5,2,0,1,0,5,0,-9
Bismack Biyombo,20:52,3,6,.500,0,0,,2,3,.667,3,2,5,0,0,2,0,4,8,-14
Byron Mullens,17:50,7,13,.538,0,0,,0,0,,2,2,4,2,0,2,2,1,14,-4
Kemba Walker,12:41,1,6,.167,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-8
Derrick Brown,11:52,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,3,1,2,-9
Matt Carroll,8:28,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3
DeSagana Diop,6:37,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+3
Cory Higgins,2:09,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1
Tyrus Thomas,Did Not Dress,,,,,,,,,,,,,,,,,,,
Anderson Varejão,25:51,4,6,.667,0,0,,1,2,.500,1,4,5,0,0,0,0,0,9,+6
Antawn Jamison,25:32,7,16,.438,2,5,.400,3,5,.600,1,5,6,1,2,2,0,1,19,+11
Kyrie Irving,21:36,8,10,.800,2,2,1.000,2,2,1.000,0,3,3,6,0,2,0,2,20,+15
Anthony Parker,20:53,4,8,.500,3,5,.600,0,0,,0,2,2,3,1,1,1,0,11,+13
Omri Casspi,18:42,2,3,.667,1,2,.500,0,2,.000,1,0,1,2,1,0,4,2,5,+6
Alonzo Gee,28:11,4,8,.500,0,1,.000,0,0,,1,2,3,2,1,0,1,4,8,+4
Daniel Gibson,27:07,3,8,.375,2,5,.400,0,0,,0,3,3,1,1,1,0,2,8,+1
Ramon Sessions,26:24,3,8,.375,0,1,.000,5,7,.714,0,2,2,9,2,0,1,3,11,-1
Tristan Thompson,24:04,7,16,.438,0,0,,2,6,.333,5,4,9,1,0,2,0,4,16,+5
Ryan Hollins,10:37,1,3,.333,0,0,,0,0,,0,4,4,0,0,0,2,1,2,+6
Samardo Samuels,8:33,1,3,.333,0,0,,2,2,1.000,0,3,3,0,1,0,0,0,4,-1
Luke Harangody,1:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
Christian Eyenga,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Joe Johnson,40:20,3,17,.176,2,9,.222,2,2,1.000,2,2,4,4,3,0,1,2,10,+7
Al Horford,40:17,7,14,.500,0,1,.000,2,4,.500,3,4,7,2,2,0,1,3,16,+5
Josh Smith,35:09,6,13,.462,0,1,.000,3,6,.500,3,11,14,2,1,2,3,0,15,+7
Jeff Teague,34:39,2,8,.250,0,1,.000,3,6,.500,0,1,1,4,1,0,2,3,7,+10
Marvin Williams,32:45,5,10,.500,0,0,,4,7,.571,1,7,8,2,1,0,1,4,14,+7
Tracy McGrady,15:15,1,4,.250,0,0,,0,0,,0,6,6,2,0,0,3,0,2,-9
Jannero Pargo,13:21,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,3,3,-12
Vladimir Radmanović,12:51,1,4,.250,1,2,.500,0,0,,1,0,1,2,0,1,0,1,3,-9
Zaza Pachulia,7:43,0,3,.000,0,0,,0,0,,0,1,1,0,0,1,1,0,0,-7
Willie Green,7:40,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,4,-9
Derrick Rose,43:59,8,22,.364,3,8,.375,11,13,.846,0,1,1,7,0,1,2,1,30,+2
Luol Deng,43:55,7,15,.467,1,4,.250,6,8,.750,0,8,8,2,2,1,2,2,21,+4
Carlos Boozer,27:25,5,13,.385,0,0,,1,2,.500,2,7,9,0,2,1,3,2,11,-15
Ronnie Brewer,22:40,2,8,.250,0,1,.000,0,0,,1,3,4,1,0,1,0,1,4,-18
Joakim Noah,16:15,0,4,.000,0,0,,2,2,1.000,1,3,4,1,1,0,1,4,2,-8
Kyle Korver,28:52,1,4,.250,0,3,.000,0,1,.000,2,6,8,1,1,1,2,4,2,+18
Ömer Aşık,28:18,1,3,.333,0,0,,0,0,,2,7,9,2,1,3,3,3,2,+10
Taj Gibson,23:56,2,7,.286,0,0,,0,0,,3,1,4,1,0,0,1,4,4,+17
John Lucas III,4:07,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0
Jimmy Butler,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
C.J. Watson,Did Not Dress,,,,,,,,,,,,,,,,,,,
Tyreke Evans,26:21,4,11,.364,0,1,.000,1,2,.500,0,3,3,4,1,1,4,2,9,-6
Marcus Thornton,24:07,2,7,.286,1,2,.500,0,0,,0,1,1,1,0,0,1,2,5,-19
J.J. Hickson,23:08,3,9,.333,0,0,,6,6,1.000,2,8,10,1,1,1,1,1,12,-10
Chuck Hayes,19:48,3,4,.750,0,1,.000,2,2,1.000,1,2,3,0,1,0,3,1,8,-9
John Salmons,13:45,1,4,.250,0,0,,0,0,,0,2,2,1,3,0,1,4,2,-7
Jimmer Fredette,29:03,6,12,.500,4,6,.667,1,2,.500,2,1,3,1,1,0,1,0,17,-6
Travis Outlaw,28:19,4,7,.571,2,4,.500,1,3,.333,0,1,1,1,1,1,0,2,11,-10
DeMarcus Cousins,22:24,1,5,.200,0,0,,2,2,1.000,6,2,8,1,2,1,2,2,4,-14
Jason Thompson,18:40,4,7,.571,0,0,,0,0,,2,1,3,0,0,0,2,3,8,-3
Isaiah Thomas,16:13,4,10,.400,2,5,.400,5,5,1.000,1,4,5,3,1,0,2,0,15,-1
Francisco García,13:47,1,4,.250,0,3,.000,1,1,1.000,0,2,2,0,0,0,0,0,3,+4
Donté Greene,4:25,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,1,2,1,2,-4
Marc Gasol,41:01,7,10,.700,0,0,,0,1,.000,1,14,15,3,2,0,2,4,14,+28
Rudy Gay,35:13,10,16,.625,0,1,.000,3,5,.600,2,6,8,2,1,1,2,1,23,+21
Jeremy Pargo,25:33,2,5,.400,1,1,1.000,0,0,,1,0,1,3,0,0,0,1,5,-8
Tony Allen,25:06,5,12,.417,0,0,,0,1,.000,4,3,7,0,3,0,2,1,10,+12
Dante Cunningham,19:42,3,9,.333,0,0,,1,2,.500,2,2,4,1,0,0,3,4,7,-11
Sam Young,28:18,8,13,.615,0,1,.000,4,4,1.000,3,4,7,1,3,0,1,1,20,+28
Mike Conley,22:43,5,8,.625,1,2,.500,3,3,1.000,0,2,2,7,4,0,2,2,14,+27
O.J. Mayo,19:35,8,11,.727,0,1,.000,0,0,,2,2,4,2,0,1,2,1,16,+9
Quincy Pondexter,14:47,2,5,.400,0,1,.000,0,0,,0,1,1,1,1,0,1,1,4,-8
Josh Davis,6:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-11
Josh Selby,1:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Xavier Henry,Did Not Dress,,,,,,,,,,,,,,,,,,,
Hamed Haddadi,Not With Team,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,41:57,10,19,.526,0,0,,10,12,.833,3,5,8,1,0,1,3,5,30,+11
Wesley Matthews,38:48,7,12,.583,0,2,.000,2,3,.667,1,5,6,2,4,1,3,1,16,+7
Raymond Felton,36:12,4,11,.364,1,3,.333,3,4,.750,1,3,4,7,0,0,2,1,12,+10
Gerald Wallace,32:58,4,14,.286,1,5,.200,4,4,1.000,2,8,10,2,0,0,0,2,13,+11
Marcus Camby,18:26,2,3,.667,0,0,,3,4,.750,3,2,5,3,1,0,0,2,7,+5
Nicolas Batum,24:28,4,8,.500,3,4,.750,1,2,.500,1,6,7,0,0,2,0,1,12,-1
Jamal Crawford,21:27,2,6,.333,1,1,1.000,3,3,1.000,0,1,1,2,0,0,0,2,8,+7
Kurt Thomas,14:09,1,3,.333,0,0,,1,2,.500,0,4,4,2,0,0,0,2,3,+1
Craig Smith,11:35,0,0,,0,0,,2,2,1.000,0,1,1,1,1,0,1,0,2,-1
Kevin Durant,41:34,8,26,.308,1,7,.143,2,4,.500,0,5,5,2,1,3,3,4,19,-11
James Harden,40:01,7,13,.538,3,7,.429,6,6,1.000,1,3,4,6,3,0,3,5,23,-9
Russell Westbrook,39:09,8,18,.444,1,3,.333,5,7,.714,1,5,6,8,1,0,3,3,22,-9
Kendrick Perkins,30:47,3,5,.600,0,0,,1,2,.500,2,4,6,0,1,1,0,2,7,-7
Serge Ibaka,17:35,4,4,1.000,0,0,,0,0,,2,1,3,1,0,1,0,3,8,-5
Daequan Cook,23:37,1,5,.200,0,3,.000,0,0,,0,3,3,0,0,1,0,1,2,-5
Nick Collison,23:11,3,5,.600,0,0,,0,0,,3,6,9,2,1,0,0,1,6,-3
Nazr Mohammed,13:50,1,4,.250,0,0,,0,0,,1,2,3,2,0,0,1,2,2,+3
Eric Maynor,8:51,1,3,.333,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,4,-1
Lazar Hayward,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Brandon Jennings,44:29,4,19,.211,0,7,.000,0,1,.000,3,3,6,6,4,0,2,1,8,-14
Drew Gooden,36:20,12,20,.600,0,1,.000,0,0,,7,5,12,1,0,1,2,3,24,-6
Stephen Jackson,35:12,5,17,.294,1,7,.143,5,6,.833,2,4,6,5,2,0,6,2,16,-12
Carlos Delfino,32:38,1,8,.125,0,4,.000,2,2,1.000,1,3,4,2,1,0,0,3,4,+3
Ersan İlyasova,26:45,1,8,.125,1,1,1.000,2,2,1.000,3,5,8,1,0,1,1,3,5,-2
Shaun Livingston,23:16,3,7,.429,0,0,,3,3,1.000,2,1,3,1,1,0,1,2,9,-13
Larry Sanders,16:05,2,5,.400,0,0,,1,2,.500,3,0,3,0,0,2,0,3,5,-7
Luc Mbah a Moute,12:30,1,5,.200,0,0,,0,0,,0,2,2,0,0,0,2,0,2,0
Jon Leuer,8:50,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,2,0,-4
Jon Brockman,3:55,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-5
Beno Udrih,Did Not Dress,,,,,,,,,,,,,,,,,,,
Mike Dunleavy,Not With Team,,,,,,,,,,,,,,,,,,,
Andrew Bogut,Not With Team,,,,,,,,,,,,,,,,,,,
Al Jefferson,35:25,10,17,.588,0,0,,6,9,.667,1,9,10,0,3,2,2,1,26,+11
Paul Millsap,25:48,6,7,.857,0,0,,1,2,.500,2,10,12,2,1,2,3,4,13,0
Gordon Hayward,25:16,5,7,.714,1,3,.333,1,2,.500,0,3,3,1,0,0,4,5,12,+7
Devin Harris,17:19,0,2,.000,0,1,.000,0,0,,0,0,0,6,0,0,3,2,0,+1
Raja Bell,12:39,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,1,1,3,-4
Alec Burks,27:39,1,6,.167,0,2,.000,7,10,.700,2,0,2,6,0,1,2,1,9,+10
C.J. Miles,26:07,3,11,.273,1,4,.250,2,2,1.000,2,3,5,0,0,1,1,5,9,+5
Earl Watson,23:50,0,0,,0,0,,0,0,,0,1,1,8,3,0,3,1,0,+7
Derrick Favors,21:08,3,5,.600,0,0,,0,1,.000,1,6,7,0,1,5,2,3,6,+12
Enes Kanter,12:35,2,2,1.000,0,0,,1,2,.500,1,4,5,0,0,1,2,0,5,+1
Jamaal Tinsley,6:51,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+4
Josh Howard,4:19,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,+6
Jeremy Evans,1:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Kevin Martin,40:10,5,17,.294,1,8,.125,1,1,1.000,0,3,3,6,1,0,1,4,12,-10
Kyle Lowry,38:50,8,19,.421,4,9,.444,2,2,1.000,4,6,10,9,2,0,2,3,22,-7
Luis Scola,37:09,10,18,.556,0,0,,0,0,,2,3,5,2,1,0,0,3,20,-3
Chase Budinger,28:04,6,13,.462,4,7,.571,0,0,,0,2,2,3,1,0,1,3,16,-3
Jordan Hill,19:25,1,4,.250,0,0,,0,0,,1,3,4,2,0,0,0,2,2,0
Samuel Dalembert,18:16,3,5,.600,0,0,,1,1,1.000,1,4,5,0,0,0,1,3,7,-8
Courtney Lee,16:47,3,7,.429,1,3,.333,2,2,1.000,2,3,5,2,1,0,1,3,9,0
Patrick Patterson,15:12,0,4,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-12
Terrence Williams,12:00,1,2,.500,0,1,.000,0,1,.000,0,1,1,0,2,0,0,0,2,+2
Goran Dragić,11:16,4,5,.800,1,2,.500,0,0,,0,1,1,3,0,0,2,3,9,-2
Chandler Parsons,2:51,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
Andrew Bynum,38:13,8,15,.533,0,0,,5,8,.625,6,16,22,0,0,3,4,1,21,+17
Kobe Bryant,36:51,14,29,.483,2,7,.286,7,9,.778,2,6,8,6,0,1,2,0,37,+1
Pau Gasol,35:56,7,11,.636,0,0,,0,0,,1,7,8,1,0,0,3,2,14,+1
Derek Fisher,21:21,2,4,.500,0,0,,2,2,1.000,0,3,3,7,0,0,2,3,6,-2
Matt Barnes,20:21,1,1,1.000,0,0,,6,6,1.000,1,4,5,3,1,0,2,2,8,+6
Steve Blake,26:39,4,8,.500,2,3,.667,1,2,.500,0,2,2,3,0,0,0,2,11,+11
Metta World Peace,24:00,2,6,.333,0,3,.000,0,0,,0,1,1,5,0,0,0,3,4,0
Troy Murphy,21:24,2,2,1.000,1,1,1.000,0,0,,0,4,4,0,1,0,0,1,5,0
Jason Kapono,15:15,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,1,2,+11
