Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dominique Jones,4:07,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-6
Marc Gasol,37:23,5,6,.833,0,0,,3,4,.750,1,5,6,3,1,1,3,4,13,-8
Rudy Gay,35:19,8,18,.444,1,1,1.000,2,3,.667,0,10,10,2,2,1,3,2,19,-10
Mike Conley,32:26,4,10,.400,1,1,1.000,2,2,1.000,0,3,3,7,2,0,3,3,11,-1
Zach Randolph,28:53,3,8,.375,0,0,,4,8,.500,3,3,6,1,1,0,3,3,10,-16
Tony Allen,15:07,1,4,.250,0,0,,0,0,,3,1,4,0,1,0,4,4,2,-7
Sam Young,19:27,2,5,.400,0,1,.000,0,0,,0,2,2,0,0,0,1,2,4,-6
Quincy Pondexter,17:19,3,5,.600,0,1,.000,0,0,,1,4,5,0,0,0,1,2,6,+7
O.J. Mayo,17:12,2,4,.500,0,0,,0,0,,0,4,4,1,0,0,2,0,4,-8
Dante Cunningham,16:58,4,6,.667,0,0,,0,2,.000,0,0,0,1,0,0,1,3,8,+3
Jeremy Pargo,15:34,2,6,.333,1,3,.333,0,0,,1,1,2,3,2,0,3,1,5,-12
Brian Skinner,4:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Tony Parker,33:09,6,16,.375,0,1,.000,3,4,.750,2,2,4,7,4,0,2,3,15,+2
Richard Jefferson,31:53,5,11,.455,3,7,.429,1,2,.500,0,3,3,1,1,1,0,1,14,+10
Manu Ginóbili,31:22,7,15,.467,3,8,.375,7,8,.875,1,4,5,4,3,1,2,1,24,+17
Tim Duncan,21:12,4,7,.571,0,0,,2,2,1.000,2,4,6,3,0,1,4,4,10,+10
DeJuan Blair,9:46,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,1,4,6,+9
Tiago Splitter,32:54,2,7,.286,0,0,,1,2,.500,2,6,8,0,2,2,2,3,5,+4
Matt Bonner,28:02,1,6,.167,1,5,.200,0,0,,0,0,0,2,0,0,0,0,3,+7
James Anderson,20:46,4,9,.444,1,5,.200,0,0,,0,2,2,2,0,0,0,1,9,-3
T.J. Ford,14:51,0,2,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,2,0,+11
Kawhi Leonard,13:33,2,9,.222,1,5,.200,1,4,.250,4,2,6,1,2,0,1,1,6,0
Danny Green,1:16,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,-1
Cory Joseph,1:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Eric Gordon,39:08,9,18,.500,0,6,.000,2,3,.667,0,4,4,3,1,1,1,4,20,+7
Trevor Ariza,34:12,6,11,.545,1,2,.500,0,2,.000,1,6,7,1,0,1,1,3,13,+4
Carl Landry,33:12,6,15,.400,0,0,,2,5,.400,3,4,7,1,2,0,0,4,14,-1
Marco Belinelli,30:24,4,11,.364,0,5,.000,2,2,1.000,1,4,5,1,0,0,1,2,10,-9
Emeka Okafor,26:27,1,5,.200,0,0,,2,4,.500,1,8,9,0,0,2,1,2,4,-1
Greivis Vásquez,26:36,3,7,.429,1,3,.333,3,3,1.000,0,3,3,2,3,0,5,0,10,+1
Chris Kaman,20:38,5,8,.625,0,0,,0,0,,3,2,5,0,1,0,3,4,10,+4
Jason Smith,15:44,1,3,.333,0,0,,2,2,1.000,2,0,2,1,2,1,0,2,4,0
Al-Farouq Aminu,11:16,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,1,1,0,-3
Carldell Johnson,2:24,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
Jarrett Jack,Player Suspended,,,,,,,,,,,,,,,,,,,
Jared Dudley,35:09,3,11,.273,1,5,.200,2,3,.667,1,7,8,3,1,0,1,3,9,+1
Steve Nash,29:41,5,10,.500,2,3,.667,2,2,1.000,0,0,0,12,0,0,4,3,14,+5
Channing Frye,23:06,1,6,.167,0,2,.000,1,1,1.000,0,4,4,0,2,0,0,0,3,+5
Grant Hill,22:39,3,10,.300,0,4,.000,0,0,,1,6,7,1,0,0,2,0,6,+6
Marcin Gortat,21:05,6,9,.667,0,0,,1,3,.333,3,2,5,0,1,0,0,3,13,+1
Robin Lopez,26:55,8,12,.667,0,0,,5,6,.833,2,5,7,1,0,0,1,3,21,-2
Markieff Morris,24:54,2,5,.400,1,3,.333,2,2,1.000,3,6,9,2,2,2,1,4,7,-6
Shannon Brown,20:22,1,8,.125,0,2,.000,0,0,,1,0,1,1,1,0,2,3,2,-2
Josh Childress,17:50,3,6,.500,1,4,.250,0,0,,0,3,3,1,1,1,1,1,7,-7
Ronnie Price,11:15,0,3,.000,0,1,.000,0,0,,1,0,1,1,1,0,2,2,0,-4
Sebastian Telfair,7:04,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,2,2,-2
Andre Iguodala,40:25,7,14,.500,4,8,.500,4,5,.800,1,7,8,3,0,4,2,2,22,-5
Spencer Hawes,38:55,5,9,.556,0,1,.000,0,0,,1,13,14,9,2,1,1,2,10,+7
Jrue Holiday,35:49,4,10,.400,1,2,.500,4,4,1.000,2,1,3,2,1,0,6,6,13,-6
Elton Brand,27:37,5,9,.556,0,0,,0,0,,1,7,8,3,0,2,3,3,10,-20
Jodie Meeks,13:40,0,4,.000,0,2,.000,3,3,1.000,1,0,1,0,0,0,0,1,3,-5
Thaddeus Young,29:08,5,9,.556,0,0,,0,1,.000,2,6,8,0,2,0,4,3,10,+6
Lou Williams,27:26,9,17,.529,3,5,.600,4,4,1.000,0,1,1,2,0,0,2,2,25,+2
Evan Turner,27:00,5,11,.455,0,1,.000,0,2,.000,1,3,4,2,1,0,2,6,10,+1
LaMarcus Aldridge,41:33,11,25,.440,0,0,,3,4,.750,3,4,7,3,3,3,2,2,25,+9
Wesley Matthews,40:31,4,14,.286,3,6,.500,5,6,.833,2,4,6,0,1,1,1,2,16,+8
Raymond Felton,34:47,4,14,.286,0,3,.000,4,6,.667,0,6,6,8,1,0,3,4,12,+6
Gerald Wallace,32:39,8,13,.615,1,2,.500,4,5,.800,5,4,9,1,2,0,4,3,21,+11
Marcus Camby,28:45,2,7,.286,0,0,,2,2,1.000,4,9,13,6,0,2,0,1,6,+3
Jamal Crawford,21:53,5,10,.500,2,3,.667,0,0,,0,4,4,4,4,0,0,2,12,+2
Nicolas Batum,20:37,4,10,.400,2,4,.500,0,0,,3,2,5,1,0,0,1,3,10,-5
Kurt Thomas,14:13,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-2
Nolan Smith,3:12,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,-7
Chris Johnson,1:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Kobe Bryant,38:22,10,24,.417,0,4,.000,9,10,.900,2,3,5,6,2,0,2,4,29,-4
Pau Gasol,32:31,7,12,.583,0,0,,1,2,.500,4,5,9,3,1,0,2,5,15,+1
Derek Fisher,29:57,3,10,.300,0,3,.000,0,0,,0,2,2,2,2,0,2,4,6,+1
Josh McRoberts,20:38,0,2,.000,0,0,,2,2,1.000,2,3,5,3,0,0,2,0,2,-7
Devin Ebanks,18:29,3,4,.750,0,0,,0,0,,2,4,6,1,0,1,1,1,6,0
Metta World Peace,29:12,8,14,.571,0,2,.000,3,3,1.000,2,2,4,4,1,1,0,2,19,-8
Troy Murphy,24:23,3,7,.429,1,2,.500,1,2,.500,3,5,8,0,0,1,0,2,8,-12
Steve Blake,19:38,0,4,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0,-10
Matt Barnes,13:35,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,3,1,3,4,-1
Andrew Goudelock,6:54,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,0
Luke Walton,6:22,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,3,2,-5
Andrew Bynum,Player Suspended,,,,,,,,,,,,,,,,,,,
Marcus Thornton,35:58,9,13,.692,4,7,.571,5,5,1.000,0,5,5,3,1,0,3,2,27,+2
