MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
35.24,0.478,0.0,0.857,0.0,7.0,7.0,6.0,2.0,0.0,8.0,3.0,28.0
35.2,0.5,0.0,0.0,3.0,5.0,8.0,2.0,0.0,2.0,2.0,3.0,6.0
23.23,0.2,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
23.1,0.8,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0
24.57,0.444,0.33299999999999996,0.667,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,12.0
24.5,0.33299999999999996,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0
22.43,0.6,0.0,0.5,5.0,3.0,8.0,1.0,0.0,1.0,1.0,4.0,7.0
12.36,0.667,0.667,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0
38.27,0.33299999999999996,0.0,0.375,4.0,11.0,15.0,0.0,1.0,2.0,3.0,4.0,11.0
33.35,0.529,0.5,1.0,4.0,6.0,10.0,1.0,2.0,0.0,2.0,4.0,25.0
30.37,0.5379999999999999,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,4.0,4.0,18.0
29.21,0.3,0.4,0.0,2.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,8.0
28.54,0.1,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0
22.43,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0
19.03,0.33299999999999996,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,2.0,4.0,6.0
17.23,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0
9.11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
6.05,0.33299999999999996,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0
4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37.02,0.579,0.5,0.545,1.0,4.0,5.0,6.0,2.0,0.0,4.0,1.0,30.0
34.04,0.353,0.5,1.0,1.0,6.0,7.0,6.0,3.0,0.0,7.0,5.0,14.0
29.52,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,4.0,6.0
23.07,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,3.0,0.0
20.54,0.6,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0
32.01,0.364,0.25,0.833,0.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,19.0
21.49,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0
16.17,0.25,0.0,0.0,2.0,5.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0
13.56,0.6,0.667,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,8.0
10.58,0.4,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
38.19,0.316,0.3,1.0,0.0,5.0,5.0,4.0,0.0,0.0,1.0,2.0,21.0
36.39,0.583,0.33299999999999996,0.833,1.0,1.0,2.0,9.0,2.0,0.0,2.0,4.0,20.0
36.01,0.4,0.33299999999999996,0.667,0.0,10.0,10.0,4.0,3.0,0.0,0.0,0.0,11.0
34.44,0.5,0.0,0.5,5.0,2.0,7.0,1.0,2.0,0.0,3.0,4.0,22.0
30.31,0.5,0.0,0.33299999999999996,3.0,2.0,5.0,0.0,0.0,8.0,2.0,2.0,6.0
22.12,0.5,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,8.0
15.45,0.28600000000000003,0.5,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,8.0
14.26,0.75,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0
11.23,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
42.42,0.316,0.0,0.5,2.0,2.0,4.0,8.0,1.0,0.0,4.0,4.0,15.0
35.13,0.526,0.0,0.5,4.0,8.0,12.0,2.0,0.0,1.0,4.0,6.0,21.0
33.28,0.16699999999999998,0.0,0.0,2.0,3.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0
30.5,0.16699999999999998,0.16699999999999998,1.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,8.0
20.27,1.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,3.0,0.0,4.0,10.0
28.23,0.5,1.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,4.0,12.0
19.0,0.25,0.33299999999999996,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,7.0
12.57,0.0,0.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
6.49,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
5.22,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.33,0.7140000000000001,0.0,0.75,4.0,9.0,13.0,3.0,1.0,3.0,3.0,4.0,13.0
30.25,0.556,0.6,1.0,2.0,4.0,6.0,11.0,0.0,0.0,1.0,2.0,15.0
30.06,0.41700000000000004,0.25,1.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,13.0
25.51,0.5379999999999999,0.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,15.0
11.54,0.25,0.25,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0
36.06,0.5,1.0,0.0,0.0,6.0,6.0,5.0,2.0,3.0,4.0,1.0,5.0
22.09,0.35700000000000004,0.33299999999999996,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,14.0
17.54,1.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,2.0,0.0,3.0,14.0
17.35,0.5,0.667,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,10.0
15.27,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0
32.31,0.5,0.0,0.667,7.0,3.0,10.0,1.0,1.0,0.0,1.0,3.0,14.0
30.43,0.3,0.0,0.5,3.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,15.0
26.01,0.16699999999999998,0.2,1.0,0.0,3.0,3.0,7.0,1.0,0.0,1.0,2.0,6.0
25.54,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0
20.33,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0
27.59,0.7140000000000001,0.5,0.8,2.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,15.0
21.59,0.5,0.5,0.8,1.0,3.0,4.0,6.0,1.0,0.0,1.0,0.0,18.0
21.34,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
17.17,0.667,0.0,0.667,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,12.0
15.29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
39.54,0.364,0.33299999999999996,1.0,3.0,5.0,8.0,9.0,1.0,1.0,4.0,3.0,23.0
