3P%,AST,BLK,FG%,FT%,MP,PF,PTS,STL,TOV,TRB
0.667,0.15,0.0,0.5,0.0,0.30289804469273746,0.16666666666666666,0.17543859649122806,0.0,0.1,0.03333333333333333
0.0,0.05,0.09090909090909091,1.0,0.0,0.26658519553072624,0.3333333333333333,0.03508771929824561,0.0,0.1,0.1
0.0,0.05,0.0,0.5,0.667,0.5640712290502794,0.5,0.24561403508771928,0.125,0.1,0.3333333333333333
0.0,0.1,0.0,0.3,0.5,0.53125,0.16666666666666666,0.2631578947368421,0.0,0.0,0.23333333333333334
0.2,0.35,0.0,0.16699999999999998,1.0,0.4540851955307263,0.3333333333333333,0.10526315789473684,0.125,0.1,0.1
1.0,0.0,0.0,1.0,0.0,0.4458798882681564,0.3333333333333333,0.14035087719298245,0.0,0.0,0.06666666666666667
0.0,0.1,0.0,0.0,1.0,0.3549231843575419,0.3333333333333333,0.03508771929824561,0.125,0.1,0.03333333333333333
0.5,0.15,0.0,0.7140000000000001,0.8,0.4816689944134078,0.3333333333333333,0.2631578947368421,0.375,0.2,0.1
0.5,0.3,0.0,0.5,0.8,0.37692039106145253,0.0,0.3157894736842105,0.125,0.1,0.13333333333333333
0.0,0.0,0.0,0.5,0.0,0.3725558659217877,0.3333333333333333,0.10526315789473684,0.0,0.0,0.03333333333333333
0.0,0.0,0.0,0.667,0.667,0.29975558659217877,0.3333333333333333,0.21052631578947367,0.0,0.0,0.16666666666666666
0.0,0.0,0.09090909090909091,0.0,0.0,0.2669343575418994,0.0,0.0,0.0,0.1,0.03333333333333333
0.33299999999999996,0.45,0.09090909090909091,0.364,1.0,0.6902932960893855,0.5,0.40350877192982454,0.125,0.4,0.26666666666666666
0.0,0.1,0.0,0.643,0.75,0.6721368715083799,0.5,0.3684210526315789,0.125,0.1,0.5333333333333333
0.0,0.0,0.09090909090909091,0.28600000000000003,1.0,0.6660265363128491,0.6666666666666666,0.10526315789473684,0.0,0.1,0.4666666666666667
0.0,0.0,0.09090909090909091,0.625,0.5,0.44029329608938544,0.8333333333333334,0.19298245614035087,0.0,0.2,0.16666666666666666
0.28600000000000003,0.0,0.0,0.33299999999999996,1.0,0.43749999999999994,0.16666666666666666,0.2807017543859649,0.0,0.1,0.03333333333333333
0.0,0.1,0.0,0.0,0.0,0.35335195530726254,0.3333333333333333,0.0,0.125,0.1,0.16666666666666666
0.0,0.2,0.0,0.375,0.33299999999999996,0.3184357541899441,0.16666666666666666,0.12280701754385964,0.25,0.1,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.18296089385474862,0.16666666666666666,0.0,0.0,0.2,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.14612430167597765,0.3333333333333333,0.0,0.125,0.0,0.03333333333333333
0.0,0.0,0.0,0.429,0.0,0.14106145251396648,0.5,0.10526315789473684,0.0,0.0,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.09759078212290502,0.16666666666666666,0.0,0.125,0.2,0.0
0.0,0.0,0.0,0.0,0.0,0.002094972067039106,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.09090909090909091,0.231,0.5379999999999999,0.6831354748603352,0.3333333333333333,0.22807017543859648,0.375,0.4,0.26666666666666666
0.0,0.15,0.09090909090909091,0.385,0.5,0.6710893854748603,0.3333333333333333,0.19298245614035087,0.0,0.2,0.3333333333333333
0.0,0.05,0.0,0.583,1.0,0.48062150837988826,0.3333333333333333,0.2631578947368421,0.125,0.1,0.1
0.0,0.0,0.2727272727272727,0.455,0.16699999999999998,0.4420391061452514,0.5,0.19298245614035087,0.125,0.1,0.2
0.0,0.0,0.0,0.25,0.833,0.428072625698324,0.0,0.15789473684210525,0.0,0.0,0.06666666666666667
0.0,0.1,0.09090909090909091,1.0,0.0,0.38687150837988826,0.6666666666666666,0.03508771929824561,0.125,0.3,0.16666666666666666
0.5,0.0,0.09090909090909091,0.33299999999999996,0.0,0.3743016759776536,0.16666666666666666,0.05263157894736842,0.25,0.0,0.06666666666666667
0.0,0.0,0.0,0.667,1.0,0.30324720670391064,0.3333333333333333,0.2807017543859649,0.0,0.0,0.06666666666666667
0.0,0.0,0.0,0.0,1.0,0.1497905027932961,0.16666666666666666,0.03508771929824561,0.0,0.0,0.03333333333333333
0.0,0.05,0.0,0.0,0.0,0.14228351955307264,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,1.0,0.0,0.07978351955307263,0.0,0.03508771929824561,0.0,0.0,0.0
0.0,0.15,0.0,0.444,0.75,0.6637569832402235,0.5,0.3333333333333333,0.0,0.1,0.23333333333333334
0.16699999999999998,0.6,0.09090909090909091,0.41700000000000004,0.9,0.633554469273743,0.8333333333333334,0.3508771929824561,0.125,0.3,0.23333333333333334
0.0,0.05,0.0,0.1,1.0,0.565467877094972,0.16666666666666666,0.07017543859649122,0.125,0.0,0.0
0.0,0.1,0.0,0.2,1.0,0.35317737430167595,0.0,0.05263157894736842,0.0,0.1,0.1
0.0,0.05,0.09090909090909091,1.0,0.0,0.3400837988826816,0.3333333333333333,0.10526315789473684,0.0,0.1,0.2
0.4,0.1,0.0,0.41700000000000004,0.5,0.4598463687150838,0.0,0.22807017543859648,0.0,0.0,0.2
0.667,0.05,0.0,0.6,1.0,0.4107891061452514,0.0,0.2631578947368421,0.0,0.1,0.1
0.0,0.0,0.2727272727272727,0.833,0.0,0.3400837988826816,0.0,0.17543859649122806,0.25,0.1,0.16666666666666666
0.5,0.2,0.0,0.5,0.0,0.19745111731843576,0.0,0.08771929824561403,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.11050977653631285,0.6666666666666666,0.0,0.0,0.1,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.07332402234636871,0.3333333333333333,0.0,0.0,0.0,0.0
0.0,0.15,0.2727272727272727,0.6,0.6,0.6469972067039106,0.3333333333333333,0.3684210526315789,0.0,0.2,0.23333333333333334
0.75,0.2,0.0,0.7140000000000001,0.0,0.6141759776536313,0.16666666666666666,0.40350877192982454,0.0,0.3,0.2
0.0,0.05,0.0,0.625,0.0,0.5665153631284917,0.5,0.17543859649122806,0.0,0.2,0.1
0.0,0.3,0.0,0.16699999999999998,0.0,0.5277583798882681,0.16666666666666666,0.03508771929824561,0.125,0.2,0.1
0.25,0.05,0.09090909090909091,0.33299999999999996,0.0,0.47747905027932963,0.3333333333333333,0.14035087719298245,0.0,0.0,0.16666666666666666
0.75,0.1,0.0,0.667,1.0,0.49144553072625696,0.16666666666666666,0.3508771929824561,0.0,0.0,0.06666666666666667
0.0,0.0,0.0,0.455,0.75,0.36801675977653625,0.5,0.22807017543859648,0.0,0.1,0.13333333333333333
1.0,0.1,0.0,0.5,0.0,0.30324720670391064,0.3333333333333333,0.08771929824561403,0.0,0.1,0.03333333333333333
0.0,0.0,0.0,0.25,0.0,0.1443784916201117,0.0,0.03508771929824561,0.0,0.0,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.021997206703910616,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.09090909090909091,0.636,0.75,0.6559008379888268,0.5,0.2982456140350877,0.125,0.0,0.16666666666666666
0.0,0.1,0.09090909090909091,0.3,0.0,0.582576815642458,0.0,0.10526315789473684,0.0,0.0,0.1
0.25,0.1,0.09090909090909091,0.28600000000000003,0.833,0.5815293296089385,0.16666666666666666,0.24561403508771928,0.0,0.5,0.13333333333333333
0.667,0.3,0.09090909090909091,0.455,1.0,0.5764664804469274,0.3333333333333333,0.2982456140350877,0.25,0.3,0.1
0.0,0.05,0.0,0.429,1.0,0.37342877094972066,0.8333333333333334,0.14035087719298245,0.125,0.0,0.23333333333333334
0.0,0.05,0.2727272727272727,0.33299999999999996,0.0,0.3392108938547486,0.16666666666666666,0.03508771929824561,0.0,0.1,0.23333333333333334
0.0,0.0,0.09090909090909091,0.0,0.0,0.28648743016759776,0.16666666666666666,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.33299999999999996,0.0,0.285090782122905,0.0,0.15789473684210525,0.125,0.4,0.03333333333333333
0.0,0.05,0.0,0.0,0.0,0.24842877094972068,0.3333333333333333,0.0,0.0,0.1,0.23333333333333334
0.5,0.15,0.0,0.2,0.75,0.21892458100558657,0.6666666666666666,0.10526315789473684,0.0,0.2,0.1
0.667,0.25,0.09090909090909091,0.273,0.0,0.6337290502793296,0.3333333333333333,0.14035087719298245,0.25,0.2,0.0
0.5,0.15,0.09090909090909091,0.33299999999999996,0.5,0.6160963687150838,0.16666666666666666,0.2807017543859649,0.25,0.2,0.13333333333333333
0.0,0.1,0.2727272727272727,0.545,0.8,0.5670391061452513,0.6666666666666666,0.2807017543859649,0.0,0.1,0.4666666666666667
0.0,0.15,0.18181818181818182,0.25,0.833,0.5455656424581006,0.16666666666666666,0.19298245614035087,0.0,0.1,0.4
0.667,0.1,0.09090909090909091,0.375,1.0,0.5073324022346368,0.8333333333333334,0.21052631578947367,0.125,0.2,0.23333333333333334
0.0,0.0,0.0,0.429,0.75,0.5494064245810055,0.5,0.2631578947368421,0.125,0.0,0.43333333333333335
0.0,0.2,0.0,0.28600000000000003,0.0,0.4231843575418994,0.5,0.07017543859649122,0.25,0.1,0.03333333333333333
1.0,0.0,0.09090909090909091,0.5,0.0,0.21490921787709497,0.0,0.12280701754385964,0.0,0.0,0.03333333333333333
0.0,0.05,0.0,0.0,1.0,0.10474860335195531,0.16666666666666666,0.03508771929824561,0.125,0.1,0.03333333333333333
0.375,0.15,0.0,0.25,1.0,0.6524092178770949,0.16666666666666666,0.22807017543859648,0.0,0.2,0.1
0.0,0.1,0.09090909090909091,0.5,0.75,0.6513617318435755,0.16666666666666666,0.2982456140350877,0.25,0.1,0.3
0.5,0.2,0.0,0.381,1.0,0.6478701117318435,0.5,0.38596491228070173,0.0,0.0,0.1
0.0,0.0,0.0,0.25,0.0,0.46089385474860334,0.0,0.03508771929824561,0.25,0.1,0.3
0.25,0.05,0.0,0.2,1.0,0.29975558659217877,1.0,0.10526315789473684,0.125,0.3,0.03333333333333333
0.0,0.3,0.0,0.6,0.667,0.6012569832402234,0.3333333333333333,0.24561403508771928,0.125,0.2,0.13333333333333333
0.25,0.15,0.0,0.41700000000000004,0.5,0.39106145251396646,0.3333333333333333,0.22807017543859648,0.0,0.1,0.03333333333333333
0.0,0.1,0.09090909090909091,0.25,1.0,0.23516061452513967,0.16666666666666666,0.07017543859649122,0.0,0.1,0.16666666666666666
0.0,0.0,0.0,1.0,0.0,0.1946578212290503,0.6666666666666666,0.07017543859649122,0.0,0.1,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.020600558659217876,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.09090909090909091,0.5,1.0,0.6726606145251397,0.5,0.3157894736842105,0.0,0.4,0.3
0.0,0.1,0.0,0.4,0.0,0.6703910614525139,0.6666666666666666,0.21052631578947367,0.125,0.6,0.23333333333333334
0.25,0.4,0.0,0.43799999999999994,0.75,0.5300279329608938,0.3333333333333333,0.3333333333333333,0.0,0.2,0.06666666666666667
0.5,0.45,0.18181818181818182,0.444,0.0,0.5239175977653632,0.5,0.15789473684210525,0.0,0.1,0.36666666666666664
0.0,0.05,0.09090909090909091,0.5,1.0,0.37377793296089384,0.0,0.14035087719298245,0.0,0.0,0.16666666666666666
0.0,0.15,0.0,0.3,1.0,0.35562150837988826,0.16666666666666666,0.22807017543859648,0.125,0.0,0.23333333333333334
0.0,0.0,0.09090909090909091,0.7140000000000001,0.0,0.33956005586592175,0.3333333333333333,0.17543859649122806,0.0,0.1,0.06666666666666667
0.0,0.05,0.09090909090909091,0.0,0.0,0.2810754189944134,0.16666666666666666,0.0,0.125,0.0,0.26666666666666666
0.0,0.05,0.0,0.4,0.5,0.1583449720670391,0.5,0.08771929824561403,0.0,0.1,0.0
0.0,0.1,0.0,1.0,0.0,0.14350558659217877,0.16666666666666666,0.03508771929824561,0.0,0.0,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.10614525139664804,0.0,0.0,0.0,0.1,0.0
0.4,0.15,0.0,0.522,1.0,0.6660265363128491,0.3333333333333333,0.5789473684210527,0.125,0.2,0.16666666666666666
0.0,0.3,0.0,0.47600000000000003,1.0,0.619413407821229,0.6666666666666666,0.49122807017543857,0.375,0.7,0.2
0.0,0.05,0.09090909090909091,0.25,1.0,0.4633379888268156,0.6666666666666666,0.07017543859649122,0.25,0.1,0.26666666666666666
0.0,0.0,0.09090909090909091,0.0,1.0,0.42789804469273746,0.6666666666666666,0.07017543859649122,0.0,0.0,0.16666666666666666
0.0,0.05,0.09090909090909091,0.429,0.0,0.3512569832402235,0.3333333333333333,0.10526315789473684,0.0,0.1,0.2
0.33299999999999996,0.15,0.0,0.556,0.833,0.5125698324022346,0.16666666666666666,0.2807017543859649,0.0,0.3,0.2
0.0,0.1,0.09090909090909091,0.5,0.75,0.38966480446927376,0.3333333333333333,0.08771929824561403,0.0,0.1,0.06666666666666667
0.0,0.0,0.09090909090909091,0.5,0.0,0.2636173184357542,0.6666666666666666,0.03508771929824561,0.0,0.1,0.06666666666666667
0.4,0.0,0.0,0.33299999999999996,0.0,0.2496508379888268,0.16666666666666666,0.10526315789473684,0.0,0.0,0.03333333333333333
