"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"94",0,0,0.269727653631285,0.833333333333333,0.140350877192982,0,0,0.2,0.5,0.286,1
"95",0,0,0.24895251396648,0.166666666666667,0.105263157894737,0,0,0.133333333333333,0,0.75,0
"96",0.05,0,0.196054469273743,0,0.0526315789473684,0,0.1,0.0333333333333333,1,1,0
"97",0.4,0,0.740572625698324,0.666666666666667,0.263157894736842,0.125,0.4,0.133333333333333,0,0.316,0.5
"98",0.1,0.0909090909090909,0.613303072625698,1,0.368421052631579,0,0.4,0.4,0,0.526,0.5
"99",0.2,0.181818181818182,0.581005586592179,0.666666666666667,0.0701754385964912,0.25,0.5,0.166666666666667,0,0.167,0
"103",0.05,0,0.331703910614525,0.5,0.12280701754386,0,0.2,0.1,0.333,0.25,1
"104",0,0,0.219448324022346,0.166666666666667,0.0175438596491228,0,0,0.1,0,0,0.5
"108",0.05,0,0.0101256983240223,0,0,0,0,0,0,0,0
"111",0.55,0,0.528107541899441,0.333333333333333,0.263157894736842,0,0.1,0.2,0.6,0.556,1
"112",0.1,0,0.524790502793296,0.333333333333333,0.228070175438596,0,0,0.2,0.25,0.417,1
"113",0.1,0,0.445356145251397,0,0.263157894736842,0.125,0,0.0666666666666667,0,0.538,0.5
"114",0.1,0,0.201466480446927,0.5,0.0526315789473684,0,0,0.0333333333333333,0.25,0.25,0
"115",0.25,0.272727272727273,0.629539106145251,0.166666666666667,0.087719298245614,0.25,0.4,0.2,1,0.5,0
"117",0.1,0.181818181818182,0.306215083798883,0.5,0.245614035087719,0,0,0.233333333333333,0,1,0
"118",0.15,0,0.302898044692737,0.166666666666667,0.175438596491228,0,0.1,0.0333333333333333,0.667,0.5,0
"120",0.05,0,0.564071229050279,0.5,0.245614035087719,0.125,0.1,0.333333333333333,0,0.5,0.667
"122",0.35,0,0.454085195530726,0.333333333333333,0.105263157894737,0.125,0.1,0.1,0.2,0.167,1
"124",0.1,0,0.354923184357542,0.333333333333333,0.0350877192982456,0.125,0.1,0.0333333333333333,0,0,1
"125",0.15,0,0.481668994413408,0.333333333333333,0.263157894736842,0.375,0.2,0.1,0.5,0.714,0.8
"126",0.3,0,0.376920391061453,0,0.315789473684211,0.125,0.1,0.133333333333333,0.5,0.5,0.8
"127",0,0,0.372555865921788,0.333333333333333,0.105263157894737,0,0,0.0333333333333333,0,0.5,0
"128",0,0,0.299755586592179,0.333333333333333,0.210526315789474,0,0,0.166666666666667,0,0.667,0.667
"129",0,0.0909090909090909,0.266934357541899,0,0,0,0.1,0.0333333333333333,0,0,0
"130",0.45,0.0909090909090909,0.690293296089385,0.5,0.403508771929825,0.125,0.4,0.266666666666667,0.333,0.364,1
"133",0,0.0909090909090909,0.440293296089385,0.833333333333333,0.192982456140351,0,0.2,0.166666666666667,0,0.625,0.5
"134",0,0,0.4375,0.166666666666667,0.280701754385965,0,0.1,0.0333333333333333,0.286,0.333,1
"135",0.1,0,0.353351955307263,0.333333333333333,0,0.125,0.1,0.166666666666667,0,0,0
"138",0,0,0.146124301675978,0.333333333333333,0,0.125,0,0.0333333333333333,0,0,0
"139",0,0,0.141061452513966,0.5,0.105263157894737,0,0,0.0666666666666667,0,0.429,0
"141",0,0,0.00209497206703911,0,0,0,0,0,0,0,0
"143",0.15,0.0909090909090909,0.67108938547486,0.333333333333333,0.192982456140351,0,0.2,0.333333333333333,0,0.385,0.5
"144",0.05,0,0.480621508379888,0.333333333333333,0.263157894736842,0.125,0.1,0.1,0,0.583,1
"145",0,0.272727272727273,0.442039106145251,0.5,0.192982456140351,0.125,0.1,0.2,0,0.455,0.167
"146",0,0,0.428072625698324,0,0.157894736842105,0,0,0.0666666666666667,0,0.25,0.833
"147",0.1,0.0909090909090909,0.386871508379888,0.666666666666667,0.0350877192982456,0.125,0.3,0.166666666666667,0,1,0
"149",0,0,0.303247206703911,0.333333333333333,0.280701754385965,0,0,0.0666666666666667,0,0.667,1
"150",0,0,0.149790502793296,0.166666666666667,0.0350877192982456,0,0,0.0333333333333333,0,0,1
"154",0.6,0.0909090909090909,0.633554469273743,0.833333333333333,0.350877192982456,0.125,0.3,0.233333333333333,0.167,0.417,0.9
"155",0.05,0,0.565467877094972,0.166666666666667,0.0701754385964912,0.125,0,0,0,0.1,1
"156",0.1,0,0.353177374301676,0,0.0526315789473684,0,0.1,0.1,0,0.2,1
"159",0.05,0,0.410789106145251,0,0.263157894736842,0,0.1,0.1,0.667,0.6,1
"160",0,0.272727272727273,0.340083798882682,0,0.175438596491228,0.25,0.1,0.166666666666667,0,0.833,0
"161",0.2,0,0.197451117318436,0,0.087719298245614,0,0,0.1,0.5,0.5,0
"162",0,0,0.110509776536313,0.666666666666667,0,0,0.1,0.0333333333333333,0,0,0
